Seconds,Doppler Shift
0.0,2.0413629908677677e-06
20412120.959995687,1.2841902841120856e-06
20412570.23999691,1.3575726358627804e-06
20413028.159983456,1.2541702327784066e-06
22906981.439973414,1.2408279879139172e-06
22907387.519967556,1.2408279879139172e-06
22907862.71996498,1.2908614068773971e-06
22988551.679970324,1.3575726358627804e-06
22988966.399990022,1.2875258454947414e-06
32223804.47997451,-1.1040687700747398e-06
32225135.0399673,-9.206133186889787e-07
32226543.359988928,-1.1507665159671276e-06
34037616.95996672,4.836558875620511e-07
34038887.03998178,5.070047983668502e-07
34040122.55997509,5.003336809306091e-07
35934719.03997213,-6.737822947355809e-07
35935004.15997058,-6.004000865367232e-07
37489210.55996865,9.973320518330553e-07
53494404.47997451,3.7358245807972423e-07
64798358.39997232,6.004004471371616e-07
82965090.23998082,1.1674450317578078e-07
91589676.4799729,1.9146115726176305e-06
122516953.91999781,1.9913295343787496e-06
127782714.23999369,3.00200178493526e-07
147935159.99999195,-1.3675782928324054e-07
152500518.7199682,1.1007338840407499e-07
152502004.79997844,1.1340894578992788e-07
154397015.99999517,4.069380414861712e-07
154401949.43998307,6.671114105571974e-09
157329941.7599693,-8.805866702488174e-07
157416955.1999733,1.2908614068773971e-06
157418890.55998474,1.294196968260053e-06
182231639.9999678,-1.5476972679007162e-06
182233506.239976,-1.4409596023057247e-06
184733023.6799687,-1.0006671047335658e-08
184734872.639966,-1.667778504188533e-08
206522680.3199798,-1.0773843429623398e-06
211956894.71999556,-9.472977500202262e-07
217983476.15996897,-1.1641087287461716e-06
242631624.95998442,-1.167444281913177e-06
250467128.63996923,1.5443641010470799e-06
250469098.5599622,1.6044042223661847e-06
268726674.6431753,1.4009340532084025e-07
268728618.6431721,2.4349569338610877e-07
268986021.60958797,-6.671111850709011e-07
269074816.6175991,1.5276862903590427e-06
277786296.63358927,-1.450966258920161e-06
277788490.67519903,-1.4209462886327628e-06
280369968.623963,-1.4876573324329456e-06
280371930.6815967,-1.5410261641202183e-06
281320476.6239807,3.7691801635375555e-07
281322395.6543684,3.4689799210951833e-07
281397680.6399837,1.3775860054909828e-06
281399645.63519955,1.3809215670956831e-06
282785718.6719656,1.2108079379125058e-06
282864343.6223656,7.004672233357212e-07
282883419.61919814,1.2675117533333946e-07
282954248.61119986,-1.654434922282455e-06
282964993.66078377,-1.6644415767874676e-06
283036255.60316294,2.4349569338610877e-07
283050103.6223978,7.638428534129105e-07
283126989.59997296,1.2108079379125058e-06
283136330.64956814,1.0673788217729907e-06
285542183.6639866,-1.5943949931429557e-06
288652736.6783649,-1.2875241878207433e-06
306219269.6639657,2.1347567313867444e-07
306303004.65597063,1.3308881436913111e-06
306375198.6815661,-7.771844878767808e-07
306376236.60476357,-7.705133788782348e-07
306396456.6239968,-1.3408930302771793e-06
309235718.64960194,-6.470978559658391e-07
311470720.6751749,8.705807659215026e-07
315788508.6623892,3.402268757835003e-07
315876123.6191869,-1.5910594414192403e-06
318549905.62556684,9.306208466064447e-07
319412731.6223994,9.639764486646385e-07
331368172.64639586,-9.406266423539478e-07
347235904.5983836,1.214143499073117e-06
347236989.6095976,1.07404994298399e-06
349654113.67678195,-1.6244149581012834e-06
367047137.66397536,-8.839222244150235e-07
375411181.6799864,-1.8212124843763888e-06
375492249.67680126,5.070047983668502e-07
375578649.67680126,9.172786061828475e-07
395564400.633578,1.3108747751733318e-06
395907031.670402,6.704471893215214e-07
403406543.63518506,-1.310873056659112e-06
403493641.6607693,-1.0506999150727836e-06
430377894.60478127,-1.5677105791311874e-06
430380142.64637977,-1.4076040794064326e-06
439175400.6815806,-1.2775175295409724e-06
439176050.66880137,-1.2441620012015875e-06
440384216.60158485,-1.6944615396363716e-06
464416355.606398,-1.7211459504284932e-06
464502002.6303977,5.003336809306091e-07
464847033.59996974,1.1541034010686957e-06
468461327.6447743,-1.084055449851462e-06
468462969.6767852,-1.047364361461689e-06
