phase,radial_velocity_ms,uncertainty_ms
2.523260650469794086e-02,4.158000000000000114e+02,9.900000000000000355e+00
3.581951201836908183e-02,4.000000000000000000e+02,1.100000000000000000e+01
4.227131441413689572e-02,3.818999999999999773e+02,4.200000000000000178e+00
7.617194464830134848e-02,2.770000000000000000e+02,1.100000000000000000e+01
1.107425326036057811e-01,1.880000000000000000e+02,1.300000000000000000e+01
1.362336132865138438e-01,1.080999999999999943e+02,4.299999999999999822e+00
1.445785364464242662e-01,8.009999999999999432e+01,5.299999999999999822e+00
1.475064092870010946e-01,8.450000000000000000e+01,5.299999999999999822e+00
1.525977950478605294e-01,7.029999999999999716e+01,3.799999999999999822e+00
1.538597273239545871e-01,6.859999999999999432e+01,7.400000000000000355e+00
1.950752321865500960e-01,-3.700000000000000178e+00,4.299999999999999822e+00
2.035180661556239556e-01,-1.960000000000000142e+01,2.700000000000000178e+00
2.144064598788659737e-01,-3.160000000000000142e+01,7.400000000000000355e+00
2.147022065637766985e-01,-2.500000000000000000e+01,1.200000000000000000e+01
2.295115124937936457e-01,-4.460000000000000142e+01,5.299999999999999822e+00
2.555080881103002355e-01,-7.709999999999999432e+01,4.000000000000000000e+00
2.639703412662761650e-01,-1.057000000000000028e+02,4.099999999999999645e+00
2.649214437783076193e-01,-1.037000000000000028e+02,8.800000000000000711e+00
2.660920372133421807e-01,-8.300000000000000000e+01,1.200000000000000000e+01
2.722367380331860431e-01,-9.820000000000000284e+01,3.500000000000000000e+00
2.731707433068564228e-01,-1.024000000000000057e+02,6.000000000000000000e+00
2.735466009788574127e-01,-1.045999999999999943e+02,5.000000000000000000e+00
3.315978970113704349e-01,-1.463000000000000114e+02,4.799999999999999822e+00
3.668212873156058151e-01,-1.523000000000000114e+02,3.500000000000000000e+00
3.755565082337533056e-01,-1.645000000000000000e+02,3.799999999999999822e+00
3.840070722279769200e-01,-1.648000000000000114e+02,3.799999999999999822e+00
3.926157503921388070e-01,-1.675999999999999943e+02,3.700000000000000178e+00
4.079385733421965199e-01,-1.874000000000000057e+02,4.400000000000000355e+00
4.172691176836060833e-01,-1.903000000000000114e+02,4.500000000000000000e+00
4.172876106417007236e-01,-1.796999999999999886e+02,4.099999999999999645e+00
4.254455142754700603e-01,-1.879000000000000057e+02,3.899999999999999911e+00
4.349741426791666754e-01,-1.889000000000000057e+02,4.200000000000000178e+00
4.593783833988815957e-01,-1.894000000000000057e+02,3.899999999999999911e+00
4.856651344040656681e-01,-1.728000000000000114e+02,5.200000000000000178e+00
4.950157495343425751e-01,-1.994000000000000057e+02,3.399999999999999911e+00
5.365810677838780407e-01,-1.836999999999999886e+02,6.400000000000000355e+00
5.645584759914008544e-01,-1.680000000000000000e+02,1.100000000000000000e+01
6.150438936813635848e-01,-1.560000000000000000e+02,1.100000000000000000e+01
6.161198336907788287e-01,-1.780999999999999943e+02,7.400000000000000355e+00
6.482493852206800966e-01,-1.569000000000000057e+02,4.000000000000000000e+00
6.562484197523019702e-01,-1.510999999999999943e+02,5.599999999999999645e+00
6.576258909211745163e-01,-1.539000000000000057e+02,5.099999999999999645e+00
6.646396545115536014e-01,-1.495000000000000000e+02,6.400000000000000355e+00
6.666069470423536814e-01,-1.410000000000000000e+02,4.000000000000000000e+00
6.745616754756866840e-01,-1.410000000000000000e+02,5.299999999999999822e+00
6.751772583697697172e-01,-1.363000000000000114e+02,7.099999999999999645e+00
6.761676277034531779e-01,-1.590000000000000000e+02,1.300000000000000000e+01
6.916383228992621923e-01,-1.375000000000000000e+02,4.200000000000000178e+00
6.989619989816304724e-01,-1.328000000000000114e+02,5.099999999999999645e+00
7.001423971817537506e-01,-1.358000000000000114e+02,4.700000000000000178e+00
7.255809191242299505e-01,-1.112000000000000028e+02,3.200000000000000178e+00
7.329970565033079311e-01,-1.055000000000000000e+02,5.400000000000000355e+00
7.430701118474587474e-01,-1.050000000000000000e+02,4.700000000000000178e+00
7.437856541900558227e-01,-9.500000000000000000e+01,1.200000000000000000e+01
7.588115207370336179e-01,-8.029999999999999716e+01,4.200000000000000178e+00
7.602678345951119354e-01,-8.329999999999999716e+01,3.399999999999999911e+00
7.790932597157844697e-01,-6.500000000000000000e+01,1.100000000000000000e+01
7.847126273207720715e-01,-5.429999999999999716e+01,3.899999999999999911e+00
8.279593216967100489e-01,2.200000000000000000e+01,5.700000000000000178e+00
8.456209570804986697e-01,4.820000000000000284e+01,4.900000000000000355e+00
8.609283887321765860e-01,9.229999999999999716e+01,5.799999999999999822e+00
8.716794857292040621e-01,1.162999999999999972e+02,5.799999999999999822e+00
8.886206768011852830e-01,1.545000000000000000e+02,2.100000000000000089e+00
8.965976351410809286e-01,1.805000000000000000e+02,3.700000000000000178e+00
9.051557424801224272e-01,2.015999999999999943e+02,5.400000000000000355e+00
9.058302354737040041e-01,2.040999999999999943e+02,9.300000000000000711e+00
9.136968134972338618e-01,2.465000000000000000e+02,9.500000000000000000e+00
9.139898425554697781e-01,2.373000000000000114e+02,3.399999999999999911e+00
9.146653462047087402e-01,2.420000000000000000e+02,7.500000000000000000e+00
9.227613738846400793e-01,2.613999999999999773e+02,3.500000000000000000e+00
9.310177618732353721e-01,2.913999999999999773e+02,3.899999999999999911e+00
9.478487368715313721e-01,3.520000000000000000e+02,3.299999999999999822e+00
9.648388971288675009e-01,3.871000000000000227e+02,4.599999999999999645e+00
9.983223363616815504e-01,4.443000000000000114e+02,5.200000000000000178e+00
